Dumbell Bench Press;40;30;4x5;push;"Take two dumbells that add up to reccomended weight. Lay on a flat bench and with elbows flared but not completely perpendicular push weight up until the dumbells almost hit at the top. Then bring back down to chest and repeat."
Leg Press;90;75;3x6;legs;"Select appropriate weight one machine. Plant feet firmly on platform around shoulder's width apart and push until legs are fully extended. Then move back into starting position slowly. Keeping control of the weight and repeat it."
Dumbbell Bicep Curl;10;5;3x8;pull;"Can be done with one or two arms at a time: grab according number of dumbells and start with dumbells at side with wrists facing inward. Curl weight upward while rotating wrist up until top is reached. Then slowly bring weight back down in the same motion. Repeat it."
Lateral Raises;5;3;3x10;push;"Start with dumbells at sides with feet about shoulder width apart. Raise dumbells until arms are perpendicular to the body then bring back down in a controlled fashion and repeat. Avoid swinging the weight."
Tricep Pulldowns;35;25;3x8;push;"Using a rope attachment on a high cable. Stand with feet about shoulder width apart and a foot or two back from the cable then grab one end of rope with each end and extend arms until rope reaches the sides of the hips. Move the rope back up while controlling the weight then repeat."
T-Bar Rows; 25; 15; 3x6; pull; "Using a t-bar attachment, hinge at the hips and place your grip so that your arms are below your shoulders. Pull weight up until elbows are at or behind torso, then control negative and repeat. "
Push-ups; n/a; n/a; 4x8; push; "Get into a plank position. Drop chest down close to floor while keeping elbows at a 45 degree angle to body. Push chest back up to starting position and repeat."
Shoulder Press; 25; 10; 3x10; push;"Sit on a upright bench with a dumbell in each hand at shoulder height with elbows bent. Press dumbells overhead till arms at fully extended, pause at top, then control motion back down to starting position. Repeat."
Dips; n/a; n/a; 4x5; push; "Place palms on parallel bars. Press body upwards until arms are fully extended, pause, then control motion back down without touching the ground and repeat."
Pull-Up; 60; 75; 3x5; pull; "Use specified weight on assisted pull up machine. Engaging should blades, pull body up until head is level with hands, then control motion back down and repeat."
Lat Pulldown; 70; 55; pull; "Adjust thigh pads so legs fit comfortably. Grab bar a little wider than shoulder width, then sit down and pull bar to chest, focusing on pulling elbows to sides of torso. Control upwards motion and repeat."
Bent-Over Dumbell Rows; 30; 20; pull; "Hold dumbell of specified weight in each hand. Bend forward, hinging at hips with core engaged, arms hanging in front. Pull dumbells to body, keeping arms close to sides, until elbows are behind torso. Control downwards motion and repeat."
Squat; 95; 75; 4x6; legs; "load plates onto 45 pound barbell such that the total weight equals the reccomended. Go under the bar, load weight on shoulders, then lift with legs and take a step or two back. With back as straight as possible, bend knees and bring weight down until knees are at least at 90 degree angle or lower. Engaging glutes, extend legs back up till standing and repeat."
Romanian Deadlift; 115; 95; 3x4; legs; "on the lower bars of a squat rack, load weight onto barbell. Grab bar with hands about shoulder's width apart. Take a few steps back, then, hinging at hips and allowing knees to bend, bring weight down without touching floor. Engaging glutes and hamstrings, lift weight back up and squeeze glutes at top. Repeat."
Leg Extensions; 75; 65; 3x10; legs; "Sit in leg extension machine, adjusting leg bar and seat until comfortable. Extend legs, focusing on the front of your thigh, hold full extension for a moment, then slowly bring legs back to start. Repeat."